#####,Type,,Region I,Season,Time of Day
00041,Air,detailed background environment rich depth space forest gentle field layered recording dynamic,Northern Forests,Fall,Afternoon
00042,Air,breeze quiet field rich space depth subtle background forest environment calm dynamic,Northern Forests,Fall,Sunset
00043,Air,organic texture detailed calm background field environment layered dynamic motion presence ambient,Northern Forests,Fall,Sunset
00044,Air,recording motion gentle texture background organic presence forest dynamic depth rich sound,Northern Forests,Fall,Afternoon
00045,Hybrid,breeze layered detailed field texture gentle ambient presence motion space calm environment,Northern Forests,Fall,Sunrise
00046,Water,natural subtle breeze calm sound field presence layered motion texture recording gentle,Northern Forests,Fall,Sunrise
00047,Hybrid,forest ambient atmosphere layered breeze detailed natural sound gentle environment presence recording,Northern Forests,Fall,Sunrise
00048,Air,quiet atmosphere breeze gentle motion detailed ambient presence sound organic calm texture,Northern Forests,Fall,Afternoon
00049,Air,motion detailed dynamic atmosphere subtle organic rich breeze ambient forest layered space,Northern Forests,Fall,Afternoon
00050,Air,gentle subtle atmosphere layered forest recording natural rich depth presence field motion,Northern Forests,Fall,Afternoon
00051,Air,background subtle environment rich field forest depth space organic presence calm dynamic,Northern Forests,Fall,Afternoon
00052,Air,natural atmosphere motion quiet ambient dynamic space recording environment breeze layered background,Northern Forests,Fall,Sunset
00053,Air,recording depth presence texture atmosphere environment dynamic organic sound calm breeze background,Northern Forests,Fall,Sunset
00054,Air,space dynamic calm sound depth background organic motion subtle forest environment gentle,Northern Forests,Fall,Sunset
00055,Air,motion quiet dynamic texture field detailed layered forest depth gentle recording breeze,Northern Forests,Fall,Sunset
00056,Air,forest quiet ambient detailed organic atmosphere subtle depth calm texture presence gentle,Eastern Temperate Forests,Fall,Afternoon
00057,Air,atmosphere rich gentle organic environment field quiet breeze space calm forest subtle,Eastern Temperate Forests,Fall,Afternoon
00058,Air,calm subtle sound gentle forest detailed quiet presence recording organic ambient background,Eastern Temperate Forests,Fall,Afternoon
00059,Air,texture layered sound detailed dynamic gentle natural motion forest depth field rich,Eastern Temperate Forests,Fall,Afternoon
00060,Air,detailed breeze field calm presence ambient space forest texture depth quiet sound,Eastern Temperate Forests,Fall,Afternoon
00061,Air,quiet sound calm organic ambient texture rich motion natural breeze layered depth,Eastern Temperate Forests,Fall,Afternoon
00062,Air,forest atmosphere recording motion organic detailed breeze sound field ambient gentle background,Eastern Temperate Forests,Fall,Sunset
00063,Air,environment recording natural background gentle field motion space layered rich breeze quiet,Eastern Temperate Forests,Fall,Sunset
00064,Air,recording calm texture breeze depth motion gentle layered space dynamic forest natural,Eastern Temperate Forests,Fall,Sunset
00065,Water,background breeze detailed organic motion texture presence natural depth dynamic recording space,Northern Forests,Fall,Afternoon
00066,Air,texture atmosphere space forest sound presence field recording dynamic environment quiet motion,Eastern Temperate Forests,Winter,Morning
00067,Air,calm subtle dynamic ambient natural depth atmosphere texture quiet gentle field layered,Eastern Temperate Forests,Winter,Morning
00068,Air,detailed motion organic quiet ambient forest subtle presence breeze atmosphere space calm,Eastern Temperate Forests,Winter,Morning
00069,Air,gentle forest organic atmosphere layered environment field calm dynamic subtle sound presence,Eastern Temperate Forests,Winter,Morning
00070,Air,natural detailed gentle breeze motion subtle quiet texture field depth space calm,Eastern Temperate Forests,Winter,Morning
00071,Air,texture subtle presence space ambient environment field detailed natural sound depth breeze,Eastern Temperate Forests,Winter,Afternoon
00072,Air,motion background space dynamic subtle sound gentle detailed depth calm layered presence,Eastern Temperate Forests,Winter,Night
00073,Air,background dynamic calm natural sound breeze rich space subtle motion depth environment,Eastern Temperate Forests,Winter,Morning
00074,Air,depth recording quiet environment background subtle ambient presence rich atmosphere breeze calm,Eastern Temperate Forests,Winter,Morning
00075,Air,calm presence atmosphere motion environment depth space detailed dynamic breeze ambient natural,Eastern Temperate Forests,Winter,Morning
00076,Air,gentle forest subtle recording field detailed atmosphere depth dynamic sound breeze natural,Eastern Temperate Forests,Winter,Morning
00077,Air,quiet depth gentle subtle natural atmosphere detailed sound breeze background recording forest,Eastern Temperate Forests,Winter,Morning
00078,Air,dynamic texture forest organic depth recording motion sound layered rich detailed space,Eastern Temperate Forests,Winter,Afternoon
00079,Air,forest ambient recording texture atmosphere presence subtle detailed gentle sound rich calm,Eastern Temperate Forests,Winter,Afternoon
00080,Air,motion rich subtle depth breeze detailed gentle dynamic organic forest sound recording,Eastern Temperate Forests,Winter,Morning
00081,Air,depth dynamic texture gentle calm field motion organic space forest rich quiet,Eastern Temperate Forests,Winter,Sunrise
00082,Air,motion environment layered rich calm presence gentle field depth sound space breeze,Eastern Temperate Forests,Winter,Sunrise
00083,Air,subtle detailed presence breeze background space ambient quiet texture calm forest recording,Eastern Temperate Forests,Winter,Morning
00084,Air,environment texture quiet rich forest field detailed space breeze layered subtle sound,Eastern Temperate Forests,Winter,Morning
00085,Air,recording sound field space organic breeze ambient background depth detailed motion natural,Eastern Temperate Forests,Winter,Morning
00086,Air,forest layered subtle natural detailed field space presence breeze calm motion organic,Eastern Temperate Forests,Winter,Afternoon
00087,Sequence,detailed gentle recording calm field presence space forest quiet background dynamic texture,Eastern Temperate Forests,Winter,Morning
00088,Sequence,ambient depth space layered motion sound gentle forest breeze detailed quiet subtle,Eastern Temperate Forests,Winter,Afternoon
00089,Sequence,detailed organic natural ambient space breeze presence recording gentle sound field depth,Eastern Temperate Forests,Winter,Afternoon
00090,Sequence,organic field depth background detailed gentle forest ambient environment space rich layered,Eastern Temperate Forests,Winter,Afternoon
00091,Sequence,dynamic organic environment depth natural field sound quiet gentle presence space motion,Eastern Temperate Forests,Winter,Afternoon
00092,Sequence,recording environment detailed rich background space depth breeze texture ambient sound presence,Eastern Temperate Forests,Winter,Afternoon
00093,Sequence,space subtle field ambient quiet environment natural breeze background calm atmosphere dynamic,Eastern Temperate Forests,Winter,Afternoon
00094,Sequence,field layered subtle atmosphere space forest background natural environment breeze presence calm,Eastern Temperate Forests,Winter,Sunset
00095,Sequence,presence texture atmosphere quiet background forest motion rich gentle natural layered ambient,Eastern Temperate Forests,Winter,Sunset
00096,Sequence,sound space ambient natural subtle motion gentle calm detailed background recording dynamic,Eastern Temperate Forests,Winter,Morning
00097,Sequence,space detailed quiet background layered motion dynamic environment presence forest gentle sound,Eastern Temperate Forests,Winter,Afternoon
00098,Sequence,dynamic space calm breeze environment natural ambient background rich texture layered depth,Eastern Temperate Forests,Winter,Afternoon
00099,Sequence,breeze depth dynamic detailed forest recording ambient presence calm field natural gentle,Eastern Temperate Forests,Winter,Afternoon
00100,Air,depth rich environment recording subtle motion gentle layered atmosphere calm space ambient,Eastern Temperate Forests,Spring,Sunset
