#####,,Name,Type,Location,Region I,Season,Date,Time ,Time of Day,Duration,Recorder,Microphones,Configuration,Sample Rate,Bit Depth,Region,Region III,Region IV,Recording Notes
407,65,,,,,,,,,390:25:45,,,,,,,,,
00011,,WT_AUD_WLD_NA_00011_air,Air,"Adirondack Park, NY",Northern Forests,Fall,10/6/16,15:45,Afternoon,0:05:09,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,,"Summit, Wind, Stand Movement "
00012,,WT_AUD_WLD_NA_00012_hyb,Hybrid,"Pharoah Lake Wilderness, NY ",Northern Forests,Fall,10/7/16,9:00,Morning,0:14:08,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,,
00013,,WT_AUD_WLD_NA_00013_wat,Water,"Pharoah Lake Wilderness, NY ",Northern Forests,Fall,10/7/16,10:00,Morning,0:03:33,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,,
00014,,WT_AUD_WLD_NA_00014_air,Air,"Pharoah Lake Wilderness, NY ",Northern Forests,Fall,10/7/16,13:30,Afternoon,0:09:14,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,,"Crickets, Wind, Open Air"
00015,✄,WT_AUD_WLD_NA_00015_air,Air,"Pharoah Lake Wilderness, NY ",Northern Forests,Fall,10/7/16,16:12,Afternoon,0:04:59,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,,"Quiet, Open Air"
00016,✄,WT_AUD_WLD_NA_00016_air,Air,"Pharoah Lake Wilderness, NY ",Northern Forests,Fall,10/7/16,1:39,Afternoon,0:05:36,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,,
00017,✄,WT_AUD_WLD_NA_00017_air,Air,"Pharoah Lake Wilderness, NY ",Northern Forests,Fall,10/7/16,16:12,Afternoon,0:05:21,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,,"Quiet, Trees, Bird Calls "
00018,✄,WT_AUD_WLD_NA_00018_air,Air,"Pharoah Lake Wilderness, NY ",Northern Forests,Fall,10/7/16,NA,Afternoon,0:06:22,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,,
00019,✄,WT_AUD_WLD_NA_00019_air,Air,"Pharoah Lake Wilderness, NY ",Northern Forests,Fall,10/8/16,NA,Afternoon,0:07:06,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,,
00020,✄,WT_AUD_WLD_NA_00020_air,Air,"Pharoah Lake Wilderness, NY ",Northern Forests,Fall,10/8/16,NA,Afternoon,0:11:05,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,,
00021,,WT_AUD_WLD_NA_00021_air,Air,"Pharoah Lake Wilderness, NY ",Northern Forests,Fall,10/8/16,NA,Afternoon,0:10:07,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,,
00022,,WT_AUD_WLD_NA_00022_air,Air,"Z Farm, NY",Eastern Temperate Forests,Fall,10/9/16,NA,Afternoon,0:07:45,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,,
00023,✄,WT_AUD_WLD_NA_00023_air,Air,"Z Farm, NY",Eastern Temperate Forests,Fall,10/9/16,NA,Afternoon,0:13:06,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,,"Wind, Crows, Straw "
00024,✄,WT_AUD_WLD_NA_00024_air,Air,"Z Farm, NY",Eastern Temperate Forests,Fall,10/9/16,NA,Afternoon,0:05:23,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,,
00025,,WT_AUD_WLD_NA_00025_air,Air,"Z Farm, NY",Eastern Temperate Forests,Fall,10/9/16,NA,Afternoon,0:08:37,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,,
00026,✄,WT_AUD_WLD_NA_00026_air,Air,"Adirondack Park, NY",Northern Forests,Fall,10/10/16,14:45,Afternoon,0:07:46,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,,"Wind, Leaves, Quiet, Forest"
00027,✄,WT_AUD_WLD_NA_00027_air,Air,"Adirondack Park, NY",Northern Forests,Fall,10/10/16,N/A,Afternoon,0:12:11,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 2,,
00028,,WT_AUD_WLD_NA_00028_air,Air,"Green Mountain NF, VT",Northern Forests,Fall,10/11/16,N/A,Afternoon,0:16:04,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,,
00029,,WT_AUD_WLD_NA_00029_air,Air,"Green Mountain NF, VT",Northern Forests,Fall,10/11/16,N/A,Afternoon,0:13:21,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,,
00030,,WT_AUD_WLD_NA_00030_air,Air,"Green Mountain NF, VT",Northern Forests,Fall,10/11/16,N/A,Afternoon,0:13:59,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,,
00031,,WT_AUD_WLD_NA_00031_wat,Water,"Green Mountain NF, VT",Northern Forests,Fall,10/11/16,N/A,Afternoon,0:07:52,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,,
00032,,WT_AUD_WLD_NA_00032_wat,Water,"Green Mountain NF, VT",Northern Forests,Fall,10/11/16,N/A,Afternoon,0:08:01,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,,"Subtle, Trickle, Bubble Stream"
00033,,WT_AUD_WLD_NA_00033_wat,Water,"Green Mountain NF, VT",Northern Forests,Fall,10/11/16,N/A,Afternoon,0:08:45,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,,"Subtle, Trickle, Stream, Brook, Rocky "
00034,,WT_AUD_WLD_NA_00034_wat,Water,"Green Mountain NF, VT",Northern Forests,Fall,10/11/16,14:00,Afternoon,0:09:40,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,,
00035,,WT_AUD_WLD_NA_00035_wat,Water,"Green Mountain NF, VT",Northern Forests,Fall,10/11/16,N/A,Afternoon,0:04:57,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,,
00036,,WT_AUD_WLD_NA_00036_wat,Water,"Green Mountain NF, VT",Northern Forests,Fall,10/11/16,N/A,Afternoon,0:04:28,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,,
00037,,WT_AUD_WLD_NA_00037_hyb,Hybrid,"Green Mountain NF, VT",Northern Forests,Fall,10/11/16,N/A,Afternoon,0:05:05,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,,
00038,,WT_AUD_WLD_NA_00038_hyb,Hybrid,"Green Mountain NF, VT",Northern Forests,Fall,10/11/16,N/A,Afternoon,0:09:39,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,,
00039,,WT_AUD_WLD_NA_00039_wat,Water,"Green Mountain NF, VT",Northern Forests,Fall,10/11/16,N/A,Afternoon,0:05:54,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,,
00040,,WT_AUD_WLD_NA_00040_wat,Water,"Green Mountain NF, VT",Northern Forests,Fall,10/11/16,N/A,Afternoon,0:05:02,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,,
00041,,WT_AUD_WLD_NA_00041_air,Air,"Moosehead Lake, ME ",Northern Forests,Fall,10/17/16,15:18,Afternoon,0:10:12,702T+744T,8040 + 8070,ORTF+AB,48 Khz,24 Bit,Northeastern,Region 1,,
00042,,WT_AUD_WLD_NA_00042_air,Air,"Moosehead Lake, ME ",Northern Forests,Fall,10/17/16,16:13,Sunset,0:11:58,702T+744T,8040 + 8070,ORTF+AB,48 Khz,24 Bit,Northeastern,Region 1,,
00043,,WT_AUD_WLD_NA_00043_air,Air,"Moosehead Lake, ME ",Northern Forests,Fall,10/17/16,16:53,Sunset,0:10:49,702T+744T,8040 + 8070,ORTF+AB,48 Khz,24 Bit,Northeastern,Region 1,,
00044,✄,WT_AUD_WLD_NA_00044_air,Air,"Moosehead Lake, ME ",Northern Forests,Fall,10/17/16,13:00,Afternoon,0:11:52,702T+744T,8040 + 8070,ORTF+AB,48 Khz,24 Bit,Northeastern,Region 1,,2 FILES AT LEAST 
00045,✄,WT_AUD_WLD_NA_00045_hyb,Hybrid,"Moosehead Lake, ME ",Northern Forests,Fall,10/17/16,6:30,Sunrise,0:09:46,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,,Small Waves 
00046,,WT_AUD_WLD_NA_00046_wat,Water,"Moosehead Lake, ME ",Northern Forests,Fall,10/17/16,6:30,Sunrise,0:05:20,702T+744T,8040 + 8070,ORTF+AB,48 Khz,24 Bit,Northeastern,Region 1,,Small Waves 
00047,,WT_AUD_WLD_NA_00047_hyb,Hybrid,"Moosehead Lake, ME ",Northern Forests,Fall,10/17/16,7:00,Sunrise,0:13:11,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,,"Pond, Light Wind, Tree Squeaks"
00048,✄,WT_AUD_WLD_NA_00048_air,Air,"Debsconeag Lakes Wilderness, ME",Northern Forests,Fall,10/18/16,16:30,Afternoon,0:13:32,702T+744T,8040 + 8070,ORTF+AB,48 Khz,24 Bit,Northeastern,Region 1,,"Shrubs, Wind, Open, Crickets, Birds "
00049,,WT_AUD_WLD_NA_00049_air,Air,"Debsconeag Lakes Wilderness, ME",Northern Forests,Fall,10/18/16,17:00,Afternoon,0:17:25,702T+744T,8040 + 8070,ORTF+AB,48 Khz,24 Bit,Northeastern,Region 1,,
00050,✄,WT_AUD_WLD_NA_00050_air,Air,"Debsconeag Lakes Wilderness, ME",Northern Forests,Fall,10/18/16,17:00,Afternoon,0:05:50,702T+744T,8040 + 8070,ORTF+AB,48 Khz,24 Bit,Northeastern,Region 1,,"Shrub, Dry "
00051,✄,WT_AUD_WLD_NA_00051_air,Air,"Debsconeag Lakes Wilderness, ME",Northern Forests,Fall,10/18/16,17:00,Afternoon,0:09:33,702T+744T,8040 + 8070,ORTF+AB,48 Khz,24 Bit,Northeastern,Region 1,,1 File - Needs Hum Removed
00052,,WT_AUD_WLD_NA_00052_air,Air,"Baxter SP, ME ",Northern Forests,Fall,10/19/16,18:00,Sunset,0:12:02,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,,
00053,,WT_AUD_WLD_NA_00053_air,Air,"Baxter SP, ME",Northern Forests,Fall,10/19/16,18:00,Sunset,0:13:36,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,,
00054,,WT_AUD_WLD_NA_00054_air,Air,"Baxter SP, ME",Northern Forests,Fall,10/19/16,18:00,Sunset,0:13:15,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,,
00055,✄,WT_AUD_WLD_NA_00055_air,Air,"Baxter SP, ME",Northern Forests,Fall,10/19/16,18:00,Sunset,0:12:28,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,,
00056,,WT_AUD_WLD_NA_00056_air,Air,"Downeast Lakes CF, ME",Eastern Temperate Forests,Fall,10/20/16,13:10,Afternoon,0:16:45,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,,
00057,,WT_AUD_WLD_NA_00057_air,Air,"Downeast Lakes CF, ME",Eastern Temperate Forests,Fall,10/20/16,14:06,Afternoon,0:15:06,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,,
00058,,WT_AUD_WLD_NA_00058_air,Air,"Downeast Lakes CF, ME",Eastern Temperate Forests,Fall,10/20/16,14:30,Afternoon,0:19:48,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,,
00059,,WT_AUD_WLD_NA_00059_air,Air,"Downeast Lakes CF, ME ",Eastern Temperate Forests,Fall,10/20/16,14:58,Afternoon,0:19:36,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,,
00060,,WT_AUD_WLD_NA_00060_air,Air,"Downeast Lakes CF, ME",Eastern Temperate Forests,Fall,10/20/16,15:21,Afternoon,0:19:46,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,,Distant Coyote Calls or Animal Calls 
00061,,WT_AUD_WLD_NA_00061_air,Air,"Downeast Lakes CF, ME",Eastern Temperate Forests,Fall,10/20/16,15:43,Afternoon,0:10:18,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,,RUMBLE/HUM Throughout 
00062,,WT_AUD_WLD_NA_00062_air,Air,"Downeast Lakes CF, ME",Eastern Temperate Forests,Fall,10/20/16,18:07,Sunset,0:19:37,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,, 
00063,,WT_AUD_WLD_NA_00063_air,Air,"Downeast Lakes CF, ME",Eastern Temperate Forests,Fall,10/20/16,18:44,Sunset,0:19:54,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,, 
00064,,WT_AUD_WLD_NA_00064_air,Air,"Downeast Lakes CF, ME",Eastern Temperate Forests,Fall,10/20/16,19:25,Sunset,0:15:55,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,,
00065,,WT_AUD_WLD_NA_00065_wat,Water,"Acadia NP, ME",Northern Forests,Fall,10/25/16,N/A,Afternoon,0:06:02,702T+744T,8040 + 8070,ORTF+AB,96 Khz,24 Bit,Northeastern,Region 1,,"Close Up Waves, Nautical"
00066,✄,WT_AUD_WLD_NA_00066_air,Air,"Ocala NF, FL",Eastern Temperate Forests,Winter,2/13/17,9:47,Morning,0:18:09,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,"Very Windy, Swirling, Light Birds, Light Insects, Crackling Leaves"
00067,✄,WT_AUD_WLD_NA_00067_air,Air,"Ocala NF, FL",Eastern Temperate Forests,Winter,2/13/17,10:13,Morning,0:21:57,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,"*Plane Warning* Windy, Swirling, Howling, Light Insects, Fuzzy, Some Chirps, Leaves Russel"
00068,✄,WT_AUD_WLD_NA_00068_air,Air,"Ocala NF, FL",Eastern Temperate Forests,Winter,2/13/17,10:46,Morning,0:19:24,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,Air_09 & Air_11 Same ** Plane + Traffic **
00069,✄,WT_AUD_WLD_NA_00069_air,Air,"Ocala NF, FL",Eastern Temperate Forests,Winter,2/13/17,11:12,Morning,0:18:06,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,
00070,✄,WT_AUD_WLD_NA_00070_air,Air,"Ocala NF, FL",Eastern Temperate Forests,Winter,2/13/17,11:34,Morning,0:25:54,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,
00071,✄,WT_AUD_WLD_NA_00071_air,Air,"Ocala NF, FL",Eastern Temperate Forests,Winter,2/13/17,12:11,Afternoon,0:20:23,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,
00072,,WT_AUD_WLD_NA_00072_air,Air,"Ocala NF, FL",Eastern Temperate Forests,Winter,2/14/17,3:17,Night,0:49:12,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,
00073,,WT_AUD_WLD_NA_00073_air,Air,"Myakka River SP, FL ",Eastern Temperate Forests,Winter,2/16/17,10:04,Morning,0:03:02,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,
00074,,WT_AUD_WLD_NA_00074_air,Air,"Myakka River SP, FL",Eastern Temperate Forests,Winter,2/16/17,10:17,Morning,0:11:16,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,"wind, palms"
00075,,WT_AUD_WLD_NA_00075_air,Air,"Myakka River SP, FL",Eastern Temperate Forests,Winter,2/16/17,10:50,Morning,0:19:32,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,"wind, crickets, dense trees "
00076,,WT_AUD_WLD_NA_00076_air,Air,"Myakka River SP, FL",Eastern Temperate Forests,Winter,2/16/17,11:13,Morning,0:24:55,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,"wind, crickets, swamp"
00077,,WT_AUD_WLD_NA_00077_air,Air,"Myakka River SP, FL",Eastern Temperate Forests,Winter,2/16/17,11:44,Morning,0:16:10,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,quiet crickets 
00078,,WT_AUD_WLD_NA_00078_air,Air,"Myakka River SP, FL",Eastern Temperate Forests,Winter,2/16/17,12:16,Afternoon,0:21:24,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,"cranes, crickets, birds, planes "
00079,✄,WT_AUD_WLD_NA_00079_air,Air,"Myakka River SP, FL",Eastern Temperate Forests,Winter,2/16/17,12:44,Afternoon,0:08:56,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,
00080,,WT_AUD_WLD_NA_00080_air,Air,"Myakka River SP, FL",Eastern Temperate Forests,Winter,2/17/17,8:35,Morning,0:23:27,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,
00081,,WT_AUD_WLD_NA_00081_air,Air,"Myakka River SP, FL",Eastern Temperate Forests,Winter,2/17/17,7:33,Sunrise,0:09:17,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,
00082,,WT_AUD_WLD_NA_00082_air,Air,"Myakka River SP, FL",Eastern Temperate Forests,Winter,2/17/17,7:43,Sunrise,0:51:59,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,
00083,,WT_AUD_WLD_NA_00083_air,Air,"Myakka River SP, FL",Eastern Temperate Forests,Winter,2/17/17,8:35,Morning,0:03:33,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,broken mic
00084,,WT_AUD_WLD_NA_00084_air,Air,"Myakka River SP, FL",Eastern Temperate Forests,Winter,2/17/17,9:14,Morning,0:24:20,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,
00085,,WT_AUD_WLD_NA_00085_air,Air,"Myakka River SP, FL",Eastern Temperate Forests,Winter,2/17/17,9:57,Morning,0:11:36,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,
00086,,WT_AUD_WLD_NA_00086_air,Air,"Jefferson NF, TN",Eastern Temperate Forests,Winter,3/8/17,18:02,Afternoon,0:20:48,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,quiet air tone
00087,,WT_AUD_WLD_NA_00087_hyb_pt,Sequence,"Cherokee NF, TN",Eastern Temperate Forests,Winter,3/9/17,11:59,Morning,0:25:39,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,
00088,,WT_AUD_WLD_NA_00088_hyb_pt,Sequence,"Cherokee NF, TN",Eastern Temperate Forests,Winter,3/9/17,0:31,Afternoon,0:18:47,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,
00089,,WT_AUD_WLD_NA_00089_hyb_pt,Sequence,"Cherokee NF, TN",Eastern Temperate Forests,Winter,3/9/17,0:54,Afternoon,0:19:56,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,
00090,,WT_AUD_WLD_NA_00090_hyb_pt,Sequence,"Cherokee NF, TN",Eastern Temperate Forests,Winter,3/9/17,13:20,Afternoon,0:22:20,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,
00091,,WT_AUD_WLD_NA_00091_hyb_pt,Sequence,"Cherokee NF, TN",Eastern Temperate Forests,Winter,3/9/17,14:19,Afternoon,0:19:18,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,
00092,,WT_AUD_WLD_NA_00092_hyb_pt,Sequence,"Cherokee NF, TN",Eastern Temperate Forests,Winter,3/9/17,15:00,Afternoon,0:24:08,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,
00093,,WT_AUD_WLD_NA_00093_hyb_pt,Sequence,"Cherokee NF, TN",Eastern Temperate Forests,Winter,3/9/17,15:34,Afternoon,0:26:55,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,
00094,,WT_AUD_WLD_NA_00094_hyb_pt,Sequence,"Cherokee NF, TN",Eastern Temperate Forests,Winter,3/9/17,16:06,Sunset,0:23:06,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,
00095,,WT_AUD_WLD_NA_00095_hyb_pt,Sequence,"Cherokee NF, TN",Eastern Temperate Forests,Winter,3/9/17,17:05,Sunset,0:13:27,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,
00096,,WT_AUD_WLD_NA_00096_hyb_pt,Sequence,"Cherokee NF, TN",Eastern Temperate Forests,Winter,3/10/17,11:48,Morning,0:20:06,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,
00097,,WT_AUD_WLD_NA_00097_hyb_pt,Sequence,"Cherokee NF, TN",Eastern Temperate Forests,Winter,3/10/17,12:33,Afternoon,0:20:33,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,
00098,,WT_AUD_WLD_NA_00098_hyb_pt,Sequence,"Cherokee NF, TN",Eastern Temperate Forests,Winter,3/10/17,13:02,Afternoon,0:20:21,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,
00099,,WT_AUD_WLD_NA_00099_hyb_pt,Sequence,"Cherokee NF, TN",Eastern Temperate Forests,Winter,3/10/17,13:42,Afternoon,0:23:38,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,
00100,✄,WT_AUD_WLD_NA_00100_air,Air,"Kissimmee Prarie Preserve, FL ",Eastern Temperate Forests,Spring,3/22/17,17:13,Sunset,0:19:04,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,
00101,,WT_AUD_WLD_NA_00101_air,Air,"Kissimmee Prarie Preserve, FL ",Eastern Temperate Forests,Spring,3/22/17,17:38,Sunset,0:26:56,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,
00102,,WT_AUD_WLD_NA_00102_air,Air,"Kissimmee Prarie Preserve, FL ",Eastern Temperate Forests,Spring,3/22/17,18:12,Sunset,0:24:51,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,
00103,✄,WT_AUD_WLD_NA_00103_air,Air,"Kissimmee Prarie Preserve, FL ",Eastern Temperate Forests,Spring,3/22/17,18:45,Sunset,0:08:31,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,
00104,,WT_AUD_WLD_NA_00104_air,Air,"Kissimmee Prarie Preserve, FL ",Eastern Temperate Forests,Spring,3/22/17,18:56,Sunset,0:06:03,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,
00105,,WT_AUD_WLD_NA_00105_air,Air,"Kissimmee Prarie Preserve, FL ",Eastern Temperate Forests,Spring,3/22/17,21:22,Night,0:04:39,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,
00106,,WT_AUD_WLD_NA_00106_air,Air,"Kissimmee Prarie Preserve, FL ",Eastern Temperate Forests,Spring,3/22/17,21:28,Night,0:15:24,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,
00107,,WT_AUD_WLD_NA_00107_air,Air,"Kissimmee Prarie Preserve, FL ",Eastern Temperate Forests,Spring,3/22/17,21:50,Night,0:09:14,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,
00108,,WT_AUD_WLD_NA_00108_air,Air,"Kissimmee Prarie Preserve, FL ",Eastern Temperate Forests,Spring,3/23/17,7:32,Sunrise,0:24:41,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,,
